Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Pickled Red Cabbage - 1 oz Portion (28g),17,0,0,0%,0,0%,0,0,0%,260,11%,0,0%,4,1%,0,1%,4,0,0%,0%
Rice Noodles - 3 oz Portion (85g),325,9,1,1%,0,0%,0,0,0%,30,1%,0,0%,71,24%,1,5%,0,5,4%,0%
Sambal Sauce - .2 oz Portion (6g),7,0,0,0%,0,0%,0,0,0%,90,4%,5,0%,2,1%,0,0%,2,0,0%,0%
Sambal Sauce - .2 oz Portion (6g),7,0,0,0%,0,0%,0,0,0%,90,4%,5,0%,2,1%,0,0%,2,0,0%,0%
Seasoned Broccoli - 1 oz Portion (28g),10,0,0,0%,0,0%,0,0,0%,15,1%,85,2%,2,1%,< 1,3%,0,< 1,2%,2%
Seasoned Broccoli - 1 oz Portion (28g),10,0,0,0%,0,0%,0,0,0%,15,1%,85,2%,2,1%,< 1,3%,0,< 1,2%,2%
Seasoned Broccoli - 1 oz Portion (28g),10,0,0,0%,0,0%,0,0,0%,15,1%,85,2%,2,1%,< 1,3%,0,< 1,2%,2%
Seasoned Corn - .8 oz Portion (23g),20,0,0,1%,0,0%,0,0,0%,55,2%,50,1%,4,1%,0,2%,< 1,< 1,0%,0%
Seasoned Corn - .9 oz Portion (26g),23,0,0,1%,0,0%,0,0,0%,60,2%,60,1%,5,2%,< 1,2%,< 1,< 1,0%,0%
Seasoned Corn - .9 oz Portion (26g),23,0,0,1%,0,0%,0,0,0%,60,2%,60,1%,5,2%,< 1,2%,< 1,< 1,0%,0%
Seasoned Corn - .8 oz Portion (23g),20,0,0,1%,0,0%,0,0,0%,55,2%,50,1%,4,1%,0,2%,< 1,< 1,0%,0%
Seaweed Salad - 1.5 oz Portion (43g),50,22,2.5,4%,0.5,3%,0,0,0%,500,21%,280,6%,5,2%,1,5%,1,1,4%,2%
Seaweed Salad - 1.5 oz Portion (43g),50,22,2.5,4%,0.5,3%,0,0,0%,500,21%,280,6%,5,2%,1,5%,1,1,4%,2%
Seaweed Salad - 1.5 oz Portion (43g),50,22,2.5,4%,0.5,3%,0,0,0%,500,21%,280,6%,5,2%,1,5%,1,1,4%,2%
Sesame Oil - .1 oz Portion (3g),26,27,3,4%,0,2%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Sesame Seeds - .02 oz Portion (1g),3,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Sesame Seeds - .02 oz Portion (1g),3,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Sesame Seeds - .02 oz Portion (1g),3,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Sesame Seeds - .02 oz Portion (1g),3,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Shelled Edamame - 1 oz Portion (28g),40,14,1.5,3%,0,1%,0,0,0%,0,0%,0,0%,3,1%,0,0%,0,4,2%,4%
Shelled Edamame - 1 oz Portion (28g),40,14,1.5,3%,0,1%,0,0,0%,0,0%,0,0%,3,1%,0,0%,0,4,2%,4%
Spicy Cucumber - 1 oz Portion (1g),0,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Spicy Cucumber - 1.2 oz Portion (1g),0,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Spicy Mayo - .3 oz Portion (9g),51,45,5,8%,0.5,4%,0,< 5,2%,50,2%,0,0%,1,0%,0,0%,< 1,0,0%,0%
Spicy Mayo - .2 oz Portion (6g),34,32,3.5,5%,0,2%,0,< 5,1%,30,1%,0,0%,< 1,0%,0,0%,0,0,0%,0%
Spicy Mayo - .2 oz Portion (6g),34,32,3.5,5%,0,2%,0,< 5,1%,30,1%,0,0%,< 1,0%,0,0%,0,0,0%,0%
Spicy Mayo - .2 oz Portion (6g),34,32,3.5,5%,0,2%,0,< 5,1%,30,1%,0,0%,< 1,0%,0,0%,0,0,0%,0%
Spicy Mayo - .2 oz Portion (6g),34,32,3.5,5%,0,2%,0,< 5,1%,30,1%,0,0%,< 1,0%,0,0%,0,0,0%,0%
Spicy Pork - 5 oz Portion (142g),312,144,16,24%,6,28%,0,110,37%,330,14%,360,8%,11,4%,0,0%,5,30,4%,15%
Spicy Pork - 5 oz Portion (142g),312,144,16,24%,6,28%,0,110,37%,330,14%,360,8%,11,4%,0,0%,5,30,4%,15%
Spicy Tuna - 3 oz Portion (85g),111,32,3.5,5%,0,2%,0,35,12%,270,11%,40,1%,1,0%,0,0%,1,15,0%,4%
Stir-Fried Cabbage & Red Pepper - 1.6 oz Portion (45g),33,22,2.5,4%,0.5,3%,0,0,0%,320,14%,70,1%,2,1%,< 1,3%,1,0,2%,0%
Stir-Fried Cabbage & Red Pepper - 1.2 oz Portion (34g),25,18,2,3%,0,2%,0,0,0%,240,10%,55,1%,2,1%,< 1,2%,1,0,2%,0%
Stir-Fried Cabbage & Red Pepper - 1 oz Portion (28g),21,14,1.5,2%,0,2%,0,0,0%,200,8%,45,1%,1,1%,0,2%,< 1,0,0%,0%
Stir-Fried Zucchini - 1.2 oz Portion (34g),6,0,0,0%,0,0%,0,0,0%,10,0%,90,2%,1,0%,0,1%,< 1,0,0%,0%
Stir-Fried Zucchini - 1 oz Portion (28g),5,0,0,0%,0,0%,0,0,0%,10,0%,75,2%,< 1,0%,0,1%,< 1,0,0%,0%
Stir-Fried Zucchini - 1.2 oz Portion (34g),6,0,0,0%,0,0%,0,0,0%,10,0%,90,2%,1,0%,0,1%,< 1,0,0%,0%
Stir-Fried Zucchini - 1 oz Portion (28g),5,0,0,0%,0,0%,0,0,0%,10,0%,75,2%,< 1,0%,0,1%,< 1,0,0%,0%
Sweet Potato - 1 oz Portion (28g),54,22,2.5,4%,0,1%,0,0,0%,120,5%,55,1%,7,2%,< 1,3%,1,0,0%,2%
Tan Tan Soup - 8 oz Ladle (227g),62,36,4,6%,0.5,3%,0,0,0%,1210,50%,140,3%,5,2%,0,2%,2,1,4%,6%
Teriyaki Tofu - 4 oz Portion (113g),165,40,4.5,7%,0.5,2%,0,0,0%,680,28%,0,0%,25,8%,1,4%,19,8,10%,6%
Teriyaki Tofu - 4 oz Portion (113g),165,40,4.5,7%,0.5,2%,0,0,0%,680,28%,0,0%,25,8%,1,4%,19,8,10%,6%
Thai Red Curry with Chicken - 12.5 oz Portion (354g),314,81,9,14%,2,11%,0,115,38%,7000,292%,420,9%,32,11%,14,50%,4,33,6%,10%
Tonkotsu Soup - 8 oz Ladle (227g),46,22,2.5,4%,0.5,3%,0,< 5,1%,1610,67%,0,0%,3,1%,0,0%,< 1,2,0%,0%
Vegetable Dumpling - 6 Dumplings (108g),180,54,6,9%,2,9%,0,0,0%,470,19%,0,0%,26,9%,1,4%,2,7,2%,10%
Vegetable Spring Roll - 2 Piece Portion (43g),60,9,1,2%,0,0%,0,0,0%,220,9%,0,0%,10,3%,0,2%,3,1,0%,0%
White Rice - 6 oz Portion (170g),221,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,49,16%,0,0%,0,4,0%,15%
White Rice - 6 oz Portion (170g),221,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,49,16%,0,0%,0,4,0%,15%
White Rice - 6 oz Portion (170g),221,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,49,16%,0,0%,0,4,0%,15%
White Rice - 6 oz Portion (170g),221,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,49,16%,0,0%,0,4,0%,15%
White Rice - 6 oz Portion (170g),221,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,49,16%,0,0%,0,4,0%,15%
White Sauce - .2 oz Portion (6g),30,32,3.5,5%,0,2%,0,< 5,1%,20,1%,0,0%,0,0%,0,0%,0,0,0%,0%
White Sauce - .3 oz Portion (9g),45,45,5,8%,0.5,3%,0,< 5,1%,35,1%,0,0%,< 1,0%,0,0%,0,0,0%,0%
White Sauce - .4 oz Portion (11g),61,54,6,10%,1,4%,0,5,2%,45,2%,0,0%,< 1,0%,0,0%,0,0,0%,0%
